,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
0,Scallywag's Honor,0,0,0,,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud",,Coming soon,"The Caribbean Sea, your sea, has been the home of true freedom for ages. Calico Jack, William Kidd, and many other great pirates had sailed these waters in the past.",0,Crazy Goat Games,1083150
1,Disc Creatures,8,60,4,1499,"Adventure, Casual, Indie, RPG","Single-player, Partial Controller Support",,"Oct 17, 2019","Humans live alongside creatures, each with different personalities, abilities, and moral codes. The invention of the DiscKid has changed life for everyone. Humans can copy creatures and use their power to help others and solve mysteries around the world.",0,PICORINNE SOFT,1083190
2,????????????/Rune Girl,5,41,21,99,"Adventure, Casual, Indie, RPG","Single-player, Steam Cloud",,"Jun 28, 2019","This is a &quot;leisure&quot; game with a fine style and a mysterious world following the plot. In this world, there will be a variety of girls, cute cats who have lost their way, and docile maids who have done something wrong. Slavery your evil little witch, what choices should you make in the face of their challenges?",0,ADOG,1083210
3,PokeyPoke,0,0,0,,"Action, Indie","Single-player, Full controller support",,When it's done???,Stab stuff and find shiny things.,0,Shaun Spalding,1083230
4,Wingsuit: Gudvangen,0,0,2,799,"Action, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards",,"Jun 25, 2019","Take to the skies in Wingsuit: Gudvangen and pursue the daredevil career of a professional wingsuit pilot with the action turned up to 11. Put on one of the wingsuits at your disposal, choose an exit point, and make Gudvangen your playground.",0,Ninja Whale Studios,1083260
5,HeroOfMetal-Episode01,0,1,0,99,"Action, Indie","Single-player, Partial Controller Support",,"Jun 13, 2019",Cyberpunk 2d pixel style Single player Shooting game. The player will play the role called &quot;Rayn&quot; will going to get involved in this world.,0,Blacksmith Game  Studio,1083270
6,Life of a Capitalist,0,2,5,999,"Adventure, Casual, Indie, Simulation",Single-player,,"Sep 20, 2019",This is a minimalist game with economy theme. You play as a capitalist investing in promising initiatives to prosper. You should examine and decide on different investment opportunities for each turn.,0,Demir Leylek,1083290
7,Drill Deal,0,0,0,,"Casual, Indie, Simulation, Strategy",Single-player,,Coming soon,Drill Deal is a unique simulator in a fun style that will draw you for hours. It's a building simulator like never before. Feel the thrill of a drill hitting underwater oil fields. Sell the precious substance and make your oil rig more efficient.,0,A2 Softworks,1083300
8,OUTBUDDIES DX,6,49,19,1799,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together",,"Oct 15, 2019","Run, gun and explore an open undercity in this otherworldly non-linear Metroidvania adventure about the Old Gods, strange creatures and the remnants of a lost world!",0,Julian Laufer,1083310
9,SRX,0,2,0,999,"Casual, Indie, Racing, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",,"May 7, 2020",Fly anything you want and reach the top of the world rankings! Will you be fast enough ?,0,Arokma Studio,1083350
10,The Stars Between Us,0,0,0,,"Casual, Indie",Single-player,,"May 1, 2020","Step into VR and take part in a love story that is out of this world! The vastness of space separates our two heroes, and only you can bring them together. Experience intuitive and immersive gameplay as you travel between planets and stars, solving 3D puzzles at your own pace.",0,Invrse Reality,1083380
11,Coast team,0,0,1,99,"Action, Adventure, Indie",Single-player,,"May 24, 2019","Located on an island off the coast (third-person view), players can try out a variety of weapons.Players are free to explore the islands,The premise is to avoid the attack of the enemy and kill the enemy, otherwise the player will die,Players can choose the appropriate terrain and appropriate weapons to deal with a variety of enemies.",0,Eddie,1083410
12,Commander Babes,7,18,3,1199,Casual,"Single-player, Steam Achievements",,"Jun 14, 2019","From out of an old vase emerge two Sengoku Era generals but... they're hot babes?! Our protagonist Jun finds himself responsible for helping Uesugi Kenshin and Takeda Shingen adapt to modern Japan, as well as fulfilling their (after)life-long regret of not experiencing the joy of motherhood.",0,Norn,1083420
13,Snow Jewels,0,0,1,299,"Action, Casual, Indie, Strategy","Single-player, Partial Controller Support",,"May 30, 2019","In this chilling match3 adventure, the Snow Dragon's icy breath is ready to destroy all it touches in the Mountain Lands. Only the magic of the Snow Jewels can stop the ruthless monster. Collect chains of gems and help bring back peace and tranquility to the Mountain Lands!",0,Joyful Software,1083430
14,Tricky Fox,0,2,0,99,Casual,"Single-player, Steam Achievements, Full controller support, Steam Cloud",,"May 23, 2019","Help this little fox by jumping on tiles but don?€?t fall down! Tricky Fox is the sequel to Tricky Cat with all new gameplay, graphics, music, sounds, and much more levels. Are you able to challenge yourself again?",0,NanningsGames,1083450
15,Rencia,0,3,0,499,"Action, Indie, Strategy, Early Access","Single-player, Steam Cloud",,"Aug 6, 2019","Rencia is an easy to learn action RTS game. Build your base, set an attack flag for your army, then join the battle as a top down shooter hero!",0,Imposter Game Studios,1083460
16,Armadusa,0,0,0,0,"Action, Casual, Free to Play, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op",,"May 24, 2019","100% free retro indie game with dungeons, treasures and online co-op!",0,WVV Games,1083480
17,Drumpf: Presidential Dating Simulator,0,2,3,299,"Adventure, Casual, Indie, RPG, Simulation",Single-player,,"Jun 21, 2019","Drumpf: Presidential Dating Simulator is the nightmarishly sexual, adults only dating sim parody THEY don't want you to play?€? think you've got what it takes to seduce a fat, orange president before it's too late?",0,Great Idea Games,1083490
